,sequence
3DIW_1X2R,51.98
3DIW_1YWO,48.96
3DIW_2HO2,22.67
3DIW_2O9V,57.42
3DIW_2OEI,25.57
3DIW_2PEH,35.37
3DIW_2PV1,1.98
3DIW_2QBW,475.69
3DIW_2WA8,59.04
3DIW_2XRW,43.76
3DIW_3ASL,20.4
3DIW_3CH8,456.71
3DIW_3D9T,57.08
3DIW_3DIW,0.0
3DIW_3DRF,67.07
3DIW_3DRG,61.42
3DIW_3EMH,54.29
3DIW_3IQG,18.88
3DIW_3IVV,79.66
3DIW_3L3X,4.45
3DIW_3OBQ,50.3
3DIW_3R42,74.92
3DIW_3RYB,65.16
3DIW_3SO6,40.41
3DIW_3SOU,19.1
3DIW_3UPV,12.31
3DIW_3UVK,23.68
3DIW_3UVM,20.35
3DIW_4AIF,2.6
3DIW_4APO,-4.86
3DIW_4CC2,41.52
3DIW_4CY1,26.55
3DIW_4E3B,956.11
3DIW_4EQJ,51.13
3DIW_4ERY,-1.94
3DIW_4EWR,20.73
3DIW_4F14,53.99
3DIW_4GNE,8.26
3DIW_4GQ6,33.48
3DIW_4H39,49.16
3DIW_4IKN,40.31
3DIW_4J73,40.74
3DIW_4J78,36.89
3DIW_4J81,38.63
3DIW_4JOE,403.87
3DIW_4K75,405.33
3DIW_4LN2,59.43
3DIW_4LNP,60.39
3DIW_4MDR,47.5
3DIW_4NXQ,351.93
3DIW_4O36,25.66
3DIW_4WYU,479.17
3DIW_4X3H,6.52
3DIW_4XHV,391.34
3DIW_4Y7R,25.39
3DIW_4YSI,66.74
3DIW_4ZHL,35.4
3DIW_5A2J,38.63
3DIW_5CFA,61.18
3DIW_5E1D,64.37
3DIW_5E2Q,37.03
3DIW_5GP7,1.38
3DIW_5GU4,5.34
3DIW_5HEB,452.99
3DIW_5HEY,446.09
3DIW_5WOU,530.55
3DIW_5XHZ,66.67
3DIW_5YGF,28.08
3DIW_6CDG,37.92
3DIW_6EVN,0.03
3DIW_6IM4,45.8
3DRF_1CKA,40.99
3DRF_1D4T,37.55
3DRF_1ELW,62.36
3DRF_1FCH,-8.65
3DRF_1GWR,58.62
3DRF_1JD5,49.94
3DRF_1LB6,21.1
3DRF_1MF4,37.02
3DRF_1MFG,63.8
3DRF_1OAI,33.1
3DRF_1T7R,50.7
3DRF_1X2R,54.66
3DRF_1YWO,25.06
3DRF_2HO2,34.42
3DRF_2O9V,45.76
3DRF_2OEI,39.75
3DRF_2PEH,59.03
3DRF_2PV1,48.63
3DRF_2QBW,95.83
3DRF_2WA8,84.73
3DRF_2XRW,29.25
3DRF_3ASL,20.27
3DRF_3CH8,79.58
3DRF_3D9T,39.05
3DRF_3DIW,67.07
3DRF_3DRF,0.0
3DRF_3DRG,5194.35
3DRF_3EMH,36.05
3DRF_3IQG,64.49
3DRF_3IVV,29.21
3DRF_3L3X,47.75
3DRF_3OBQ,36.61
3DRF_3R42,35.71
3DRF_3RYB,5328.73
3DRF_3SO6,57.78
3DRF_3SOU,21.43
3DRF_3UPV,52.06
3DRF_3UVK,39.09
3DRF_3UVM,34.45
3DRF_4AIF,47.67
3DRF_4APO,59.99
3DRF_4CC2,25.18
3DRF_4CY1,41.03
3DRF_4E3B,73.61
3DRF_4EQJ,-16.24
3DRF_4ERY,65.81
3DRF_4EWR,41.53
3DRF_4F14,12.67
3DRF_4GNE,-1.95
3DRF_4GQ6,4.25
3DRF_4H39,70.8
3DRF_4IKN,57.47
3DRF_4J73,19.98
3DRF_4J78,46.5
3DRF_4J81,87.77
3DRF_4JOE,41.22
3DRF_4K75,44.05
3DRF_4LN2,43.59
3DRF_4LNP,10.29
3DRF_4MDR,84.73
3DRF_4NXQ,43.36
3DRF_4O36,20.02
3DRF_4WYU,58.18
3DRF_4X3H,46.62
3DRF_4XHV,42.36
3DRF_4Y7R,44.19
3DRF_4YSI,46.74
3DRF_4ZHL,-11.25
3DRF_5A2J,100.47
3DRF_5CFA,40.27
3DRF_5E1D,53.7
3DRF_5E2Q,-30.89
3DRF_5GP7,72.67
3DRF_5GU4,11.7
3DRF_5HEB,37.95
3DRF_5HEY,23.35
3DRF_5WOU,53.54
3DRF_5XHZ,38.65
3DRF_5YGF,14.08
3DRF_6CDG,83.27
3DRF_6EVN,54.19
3DRF_6IM4,-40.26
3DRG_1CKA,10.45
3DRG_1D4T,35.04
3DRG_1ELW,52.19
3DRG_1FCH,38.18
3DRG_1GWR,38.69
3DRG_1JD5,17.84
3DRG_1LB6,18.9
3DRG_1MF4,53.91
3DRG_1MFG,-2.28
3DRG_1OAI,48.18
3DRG_1T7R,68.46
3DRG_1X2R,46.96
3DRG_1YWO,29.86
3DRG_2HO2,34.98
3DRG_2O9V,50.25
3DRG_2OEI,36.3
3DRG_2PEH,51.73
3DRG_2PV1,43.34
3DRG_2QBW,99.15
3DRG_2WA8,82.34
3DRG_2XRW,25.85
3DRG_3ASL,-3.7
3DRG_3CH8,96.16
3DRG_3D9T,47.27
3DRG_3DIW,43.68
3DRG_3DRF,5194.35
3DRG_3DRG,0.0
3DRG_3EMH,45.13
3DRG_3IQG,61.47
3DRG_3IVV,57.29
3DRG_3L3X,1.66
3DRG_3OBQ,34.07
3DRG_3R42,38.32
3DRG_3RYB,5448.91
3DRG_3SO6,22.63
3DRG_3SOU,2.16
3DRG_3UPV,55.01
3DRG_3UVK,45.92
3DRG_3UVM,65.97
3DRG_4AIF,63.98
3DRG_4APO,62.01
3DRG_4CC2,34.7
3DRG_4CY1,84.28
3DRG_4E3B,51.64
3DRG_4EQJ,19.96
3DRG_4ERY,50.68
3DRG_4EWR,75.02
3DRG_4F14,11.12
3DRG_4GNE,18.94
3DRG_4GQ6,24.11
3DRG_4H39,24.86
3DRG_4IKN,79.4
3DRG_4J73,43.73
3DRG_4J78,35.56
3DRG_4J81,75.49
3DRG_4JOE,43.06
3DRG_4K75,45.79
3DRG_4LN2,48.07
3DRG_4LNP,35.68
3DRG_4MDR,112.34
3DRG_4NXQ,44.03
3DRG_4O36,19.95
3DRG_4WYU,85.58
3DRG_4X3H,49.82
3DRG_4XHV,48.03
3DRG_4Y7R,17.18
3DRG_4YSI,53.06
3DRG_4ZHL,87.58
3DRG_5A2J,106.92
3DRG_5CFA,7.02
3DRG_5E1D,45.23
3DRG_5E2Q,28.98
3DRG_5GP7,41.67
3DRG_5GU4,34.96
3DRG_5HEB,53.92
3DRG_5HEY,42.49
3DRG_5WOU,50.46
3DRG_5XHZ,38.54
3DRG_5YGF,40.38
3DRG_6CDG,74.01
3DRG_6EVN,53.4
3DRG_6IM4,-24.27
3EMH_1CKA,63.53
3EMH_1D4T,70.68
3EMH_1ELW,-55.38
3EMH_1FCH,-179.14
3EMH_1GWR,-37.68
3EMH_1JD5,26.2
3EMH_1LB6,69.84
3EMH_1MF4,-48.68
3EMH_1MFG,42.29
3EMH_1OAI,26.12
3EMH_1T7R,-84.75
3EMH_1X2R,493.0
3EMH_1YWO,50.66
3EMH_2HO2,62.91
3EMH_2O9V,50.98
3EMH_2OEI,70.45
3EMH_2PEH,48.15
3EMH_2PV1,8.5
3EMH_2QBW,61.96
3EMH_2WA8,22.61
3EMH_2XRW,101.09
3EMH_3ASL,25.11
3EMH_3CH8,50.05
3EMH_3D9T,-27.49
3EMH_3DIW,54.29
3EMH_3DRF,52.81
3EMH_3DRG,43.94
3EMH_3EMH,0.0
3EMH_3IQG,19.67
3EMH_3IVV,73.62
3EMH_3L3X,-62.74
3EMH_3OBQ,17.8
3EMH_3R42,29.59
3EMH_3RYB,44.64
3EMH_3SO6,99.34
3EMH_3SOU,14.07
3EMH_3UPV,-44.93
3EMH_3UVK,3056.43
3EMH_3UVM,3195.09
3EMH_4AIF,-74.28
3EMH_4APO,-62.62
3EMH_4CC2,64.39
3EMH_4CY1,3118.57
3EMH_4E3B,56.04
3EMH_4EQJ,56.42
3EMH_4ERY,3132.33
3EMH_4EWR,3181.2
3EMH_4F14,48.53
3EMH_4GNE,8.2
3EMH_4GQ6,8.37
3EMH_4H39,76.66
3EMH_4IKN,60.43
3EMH_4J73,1383.88
3EMH_4J78,1448.22
3EMH_4J81,1446.24
3EMH_4JOE,43.04
3EMH_4K75,5.45
3EMH_4LN2,48.61
3EMH_4LNP,64.16
3EMH_4MDR,72.95
3EMH_4NXQ,39.67
3EMH_4O36,-3.44
3EMH_4WYU,43.85
3EMH_4X3H,-3.25
3EMH_4XHV,13.72
3EMH_4Y7R,3157.89
3EMH_4YSI,61.13
3EMH_4ZHL,81.47
3EMH_5A2J,119.49
3EMH_5CFA,80.82
3EMH_5E1D,35.57
3EMH_5E2Q,-34.82
3EMH_5GP7,-10.71
3EMH_5GU4,52.61
3EMH_5HEB,35.55
3EMH_5HEY,20.36
3EMH_5WOU,37.23
3EMH_5XHZ,49.65
3EMH_5YGF,15.23
3EMH_6CDG,71.22
3EMH_6EVN,-37.19
3EMH_6IM4,-111.25
3IQG_1CKA,45.24
3IQG_1D4T,56.87
3IQG_1ELW,35.4
3IQG_1FCH,50.22
3IQG_1GWR,20.54
3IQG_1JD5,0.45
3IQG_1LB6,19.74
3IQG_1MF4,34.62
3IQG_1MFG,16.49
3IQG_1OAI,42.56
3IQG_1T7R,17.8
3IQG_1X2R,-34.68
3IQG_1YWO,21.07
3IQG_2HO2,27.06
3IQG_2O9V,56.24
3IQG_2OEI,32.27
3IQG_2PEH,62.98
3IQG_2PV1,49.05
3IQG_2QBW,26.86
3IQG_2WA8,50.74
3IQG_2XRW,15.93
3IQG_3ASL,24.92
3IQG_3CH8,5.11
3IQG_3D9T,25.29
3IQG_3DIW,28.2
3IQG_3DRF,71.85
3IQG_3DRG,66.05
3IQG_3EMH,19.67
3IQG_3IQG,0.0
3IQG_3IVV,14.04
3IQG_3L3X,10.45
3IQG_3OBQ,25.27
3IQG_3R42,21.74
3IQG_3RYB,62.92
3IQG_3SO6,72.45
3IQG_3SOU,25.36
3IQG_3UPV,46.62
3IQG_3UVK,16.0
3IQG_3UVM,19.07
3IQG_4AIF,28.2
3IQG_4APO,-1.65
3IQG_4CC2,22.08
3IQG_4CY1,30.61
3IQG_4E3B,14.36
3IQG_4EQJ,20.92
3IQG_4ERY,24.07
3IQG_4EWR,28.19
3IQG_4F14,24.12
3IQG_4GNE,7.7
3IQG_4GQ6,55.93
3IQG_4H39,49.01
3IQG_4IKN,0.36
3IQG_4J73,-8.94
3IQG_4J78,-12.99
3IQG_4J81,17.14
3IQG_4JOE,18.89
3IQG_4K75,20.86
3IQG_4LN2,43.53
3IQG_4LNP,58.31
3IQG_4MDR,-9.52
3IQG_4NXQ,-16.0
3IQG_4O36,14.58
3IQG_4WYU,5.1
3IQG_4X3H,28.23
3IQG_4XHV,5.83
3IQG_4Y7R,38.02
3IQG_4YSI,6.86
3IQG_4ZHL,26.29
3IQG_5A2J,-11.34
3IQG_5CFA,-13.17
3IQG_5E1D,113.37
3IQG_5E2Q,60.86
3IQG_5GP7,76.42
3IQG_5GU4,19.55
3IQG_5HEB,34.47
3IQG_5HEY,30.58
3IQG_5WOU,31.9
3IQG_5XHZ,39.98
3IQG_5YGF,17.32
3IQG_6CDG,16.92
3IQG_6EVN,38.72
3IQG_6IM4,61.99
3IVV_1CKA,54.39
3IVV_1D4T,42.42
3IVV_1ELW,-38.35
3IVV_1FCH,-58.91
3IVV_1GWR,-43.01
3IVV_1JD5,22.07
3IVV_1LB6,436.65
3IVV_1MF4,-16.98
3IVV_1MFG,59.61
3IVV_1OAI,12.46
3IVV_1T7R,7.29
3IVV_1X2R,43.11
3IVV_1YWO,50.3
3IVV_2HO2,36.76
3IVV_2O9V,49.91
3IVV_2OEI,47.37
3IVV_2PEH,22.91
3IVV_2PV1,70.65
3IVV_2QBW,95.1
3IVV_2WA8,57.5
3IVV_2XRW,56.99
3IVV_3ASL,13.55
3IVV_3CH8,95.4
3IVV_3D9T,-15.87
3IVV_3DIW,79.66
3IVV_3DRF,33.13
3IVV_3DRG,61.21
3IVV_3EMH,73.62
3IVV_3IQG,14.04
3IVV_3IVV,0.0
3IVV_3L3X,-4.36
3IVV_3OBQ,56.48
3IVV_3R42,14.93
3IVV_3RYB,59.15
3IVV_3SO6,32.61
3IVV_3SOU,-0.5
3IVV_3UPV,-71.17
3IVV_3UVK,87.63
3IVV_3UVM,76.0
3IVV_4AIF,-56.28
3IVV_4APO,-44.89
3IVV_4CC2,31.18
3IVV_4CY1,70.85
3IVV_4E3B,60.98
3IVV_4EQJ,58.14
3IVV_4ERY,76.69
3IVV_4EWR,67.21
3IVV_4F14,42.05
3IVV_4GNE,23.32
3IVV_4GQ6,69.91
3IVV_4H39,-36.36
3IVV_4IKN,89.89
3IVV_4J73,51.71
3IVV_4J78,63.84
3IVV_4J81,55.71
3IVV_4JOE,44.79
3IVV_4K75,44.31
3IVV_4LN2,47.59
3IVV_4LNP,45.13
3IVV_4MDR,108.99
3IVV_4NXQ,82.5
3IVV_4O36,-0.29
3IVV_4WYU,75.38
3IVV_4X3H,9.59
3IVV_4XHV,47.77
3IVV_4Y7R,83.68
3IVV_4YSI,475.73
3IVV_4ZHL,70.09
3IVV_5A2J,85.0
3IVV_5CFA,112.39
3IVV_5E1D,23.69
3IVV_5E2Q,23.83
3IVV_5GP7,-24.19
3IVV_5GU4,27.53
3IVV_5HEB,43.38
3IVV_5HEY,67.16
3IVV_5WOU,59.4
3IVV_5XHZ,55.38
3IVV_5YGF,61.26
3IVV_6CDG,69.12
3IVV_6EVN,18.91
3IVV_6IM4,5.24
3L3X_1CKA,20.95
3L3X_1D4T,26.12
3L3X_1ELW,66.76
3L3X_1FCH,88.06
3L3X_1GWR,743.27
3L3X_1JD5,41.43
3L3X_1LB6,-59.47
3L3X_1MF4,47.15
3L3X_1MFG,16.8
3L3X_1OAI,40.64
3L3X_1T7R,2070.01
3L3X_1X2R,-60.3
3L3X_1YWO,4.56
3L3X_2HO2,-4.82
3L3X_2O9V,24.77
3L3X_2OEI,5.87
3L3X_2PEH,28.12
3L3X_2PV1,41.02
3L3X_2QBW,-14.92
3L3X_2WA8,42.32
3L3X_2XRW,64.17
3L3X_3ASL,17.09
3L3X_3CH8,-34.92
3L3X_3D9T,31.73
3L3X_3DIW,4.24
3L3X_3DRF,54.49
3L3X_3DRG,62.9
3L3X_3EMH,-64.91
3L3X_3IQG,25.13
3L3X_3IVV,-13.4
3L3X_3L3X,0.0
3L3X_3OBQ,21.21
3L3X_3R42,68.6
3L3X_3RYB,60.74
3L3X_3SO6,57.64
3L3X_3SOU,20.86
3L3X_3UPV,74.53
3L3X_3UVK,-58.8
3L3X_3UVM,-13.26
3L3X_4AIF,58.59
3L3X_4APO,68.68
3L3X_4CC2,6.27
3L3X_4CY1,-77.47
3L3X_4E3B,-14.28
3L3X_4EQJ,-3.98
3L3X_4ERY,-72.46
3L3X_4EWR,-123.18
3L3X_4F14,18.47
3L3X_4GNE,-5.23
3L3X_4GQ6,75.21
3L3X_4H39,87.97
3L3X_4IKN,-12.32
3L3X_4J73,-35.42
3L3X_4J78,-73.43
3L3X_4J81,-107.89
3L3X_4JOE,17.6
3L3X_4K75,17.5
3L3X_4LN2,24.74
3L3X_4LNP,23.65
3L3X_4MDR,-97.78
3L3X_4NXQ,-2.07
3L3X_4O36,20.26
3L3X_4WYU,1.24
3L3X_4X3H,57.31
3L3X_4XHV,24.22
3L3X_4Y7R,-66.74
3L3X_4YSI,-24.85
3L3X_4ZHL,-25.4
3L3X_5A2J,-59.46
3L3X_5CFA,-64.13
3L3X_5E1D,57.35
3L3X_5E2Q,54.92
3L3X_5GP7,50.28
3L3X_5GU4,-23.74
3L3X_5HEB,14.85
3L3X_5HEY,9.47
3L3X_5WOU,20.33
3L3X_5XHZ,13.65
3L3X_5YGF,2.62
3L3X_6CDG,-41.65
3L3X_6EVN,68.72
3L3X_6IM4,53.08
3OBQ_1CKA,39.77
3OBQ_1D4T,63.28
3OBQ_1ELW,63.24
3OBQ_1FCH,33.28
3OBQ_1GWR,46.04
3OBQ_1JD5,67.36
3OBQ_1LB6,55.33
3OBQ_1MF4,22.57
3OBQ_1MFG,46.3
3OBQ_1OAI,35.62
3OBQ_1T7R,13.22
3OBQ_1X2R,55.78
3OBQ_1YWO,23.3
3OBQ_2HO2,43.39
3OBQ_2O9V,41.6
3OBQ_2OEI,15.56
3OBQ_2PEH,39.53
3OBQ_2PV1,36.84
3OBQ_2QBW,39.11
3OBQ_2WA8,39.14
3OBQ_2XRW,0.59
3OBQ_3ASL,2.69
3OBQ_3CH8,62.61
3OBQ_3D9T,80.3
3OBQ_3DIW,50.3
3OBQ_3DRF,-26.91
3OBQ_3DRG,-17.28
3OBQ_3EMH,27.38
3OBQ_3IQG,27.26
3OBQ_3IVV,42.99
3OBQ_3L3X,29.14
3OBQ_3OBQ,0.0
3OBQ_3R42,499.38
3OBQ_3RYB,-22.08
3OBQ_3SO6,33.36
3OBQ_3SOU,14.97
3OBQ_3UPV,25.04
3OBQ_3UVK,5.35
3OBQ_3UVM,19.01
3OBQ_4AIF,48.3
3OBQ_4APO,25.24
3OBQ_4CC2,28.39
3OBQ_4CY1,11.53
3OBQ_4E3B,45.62
3OBQ_4EQJ,83.82
3OBQ_4ERY,14.14
3OBQ_4EWR,10.8
3OBQ_4F14,8.39
3OBQ_4GNE,14.34
3OBQ_4GQ6,75.14
3OBQ_4H39,20.21
3OBQ_4IKN,36.99
3OBQ_4J73,35.71
3OBQ_4J78,46.78
3OBQ_4J81,49.04
3OBQ_4JOE,39.39
3OBQ_4K75,33.95
3OBQ_4LN2,40.31
3OBQ_4LNP,45.73
3OBQ_4MDR,39.64
3OBQ_4NXQ,46.26
3OBQ_4O36,11.45
3OBQ_4WYU,56.81
3OBQ_4X3H,9.52
3OBQ_4XHV,55.63
3OBQ_4Y7R,32.17
3OBQ_4YSI,71.35
3OBQ_4ZHL,18.66
3OBQ_5A2J,34.76
3OBQ_5CFA,31.49
3OBQ_5E1D,51.53
3OBQ_5E2Q,46.67
3OBQ_5GP7,-4.29
3OBQ_5GU4,72.44
3OBQ_5HEB,34.92
3OBQ_5HEY,28.37
3OBQ_5WOU,54.01
3OBQ_5XHZ,35.32
3OBQ_5YGF,57.18
3OBQ_6CDG,80.73
3OBQ_6EVN,34.29
3OBQ_6IM4,16.58
3R42_1CKA,35.55
3R42_1D4T,66.53
3R42_1ELW,26.99
3R42_1FCH,-31.51
3R42_1GWR,57.94
3R42_1JD5,47.82
3R42_1LB6,76.03
3R42_1MF4,43.02
3R42_1MFG,42.22
3R42_1OAI,46.64
3R42_1T7R,71.88
3R42_1X2R,83.66
3R42_1YWO,19.78
3R42_2HO2,32.93
3R42_2O9V,47.42
3R42_2OEI,35.02
3R42_2PEH,50.03
3R42_2PV1,46.74
3R42_2QBW,53.89
3R42_2WA8,48.8
3R42_2XRW,24.7
3R42_3ASL,17.12
3R42_3CH8,59.17
3R42_3D9T,33.96
3R42_3DIW,78.18
3R42_3DRF,51.61
3R42_3DRG,32.21
3R42_3EMH,64.65
3R42_3IQG,21.74
3R42_3IVV,22.67
3R42_3L3X,51.83
3R42_3OBQ,499.38
3R42_3R42,0.0
3R42_3RYB,32.1
3R42_3SO6,14.14
3R42_3SOU,-7.45
3R42_3UPV,-27.38
3R42_3UVK,28.14
3R42_3UVM,49.16
3R42_4AIF,18.13
3R42_4APO,-25.22
3R42_4CC2,24.88
3R42_4CY1,9.5
3R42_4E3B,69.75
3R42_4EQJ,54.02
3R42_4ERY,6.51
3R42_4EWR,-5.04
3R42_4F14,11.49
3R42_4GNE,2.12
3R42_4GQ6,1.17
3R42_4H39,27.97
3R42_4IKN,-22.12
3R42_4J73,39.58
3R42_4J78,-3.23
3R42_4J81,-4.28
3R42_4JOE,47.07
3R42_4K75,53.42
3R42_4LN2,30.41
3R42_4LNP,44.2
3R42_4MDR,59.03
3R42_4NXQ,69.13
3R42_4O36,14.94
3R42_4WYU,61.28
3R42_4X3H,34.24
3R42_4XHV,42.32
3R42_4Y7R,36.72
3R42_4YSI,-0.03
3R42_4ZHL,56.99
3R42_5A2J,29.93
3R42_5CFA,-17.17
3R42_5E1D,32.91
3R42_5E2Q,79.86
3R42_5GP7,12.22
3R42_5GU4,55.08
3R42_5HEB,63.58
3R42_5HEY,46.16
3R42_5WOU,52.38
3R42_5XHZ,35.27
3R42_5YGF,63.98
3R42_6CDG,37.91
3R42_6EVN,31.44
3R42_6IM4,73.06
3RYB_1CKA,12.8
3RYB_1D4T,42.93
3RYB_1ELW,59.17
3RYB_1FCH,28.64
3RYB_1GWR,43.05
3RYB_1JD5,79.53
3RYB_1LB6,31.09
3RYB_1MF4,53.04
3RYB_1MFG,18.65
3RYB_1OAI,47.91
3RYB_1T7R,51.11
3RYB_1X2R,36.27
3RYB_1YWO,26.8
3RYB_2HO2,28.23
3RYB_2O9V,46.87
3RYB_2OEI,38.03
3RYB_2PEH,60.4
3RYB_2PV1,46.82
3RYB_2QBW,96.42
3RYB_2WA8,86.25
3RYB_2XRW,50.11
3RYB_3ASL,23.66
3RYB_3CH8,90.88
3RYB_3D9T,37.79
3RYB_3DIW,45.98
3RYB_3DRF,5328.73
3RYB_3DRG,5448.91
3RYB_3EMH,58.06
3RYB_3IQG,92.98
3RYB_3IVV,60.03
3RYB_3L3X,65.32
3RYB_3OBQ,19.59
3RYB_3R42,26.85
3RYB_3RYB,0.0
3RYB_3SO6,53.74
3RYB_3SOU,2.14
3RYB_3UPV,61.46
3RYB_3UVK,57.45
3RYB_3UVM,20.89
3RYB_4AIF,49.51
3RYB_4APO,17.7
3RYB_4CC2,33.5
3RYB_4CY1,2.49
3RYB_4E3B,40.79
3RYB_4EQJ,-20.15
3RYB_4ERY,27.84
3RYB_4EWR,26.79
3RYB_4F14,41.62
3RYB_4GNE,24.08
3RYB_4GQ6,-7.86
3RYB_4H39,94.58
3RYB_4IKN,61.35
3RYB_4J73,43.93
3RYB_4J78,35.85
3RYB_4J81,41.36
3RYB_4JOE,49.64
3RYB_4K75,43.43
3RYB_4LN2,44.81
3RYB_4LNP,15.49
3RYB_4MDR,103.1
3RYB_4NXQ,39.36
3RYB_4O36,20.5
3RYB_4WYU,89.54
3RYB_4X3H,44.54
3RYB_4XHV,38.71
3RYB_4Y7R,48.35
3RYB_4YSI,53.12
3RYB_4ZHL,43.6
3RYB_5A2J,104.62
3RYB_5CFA,28.93
3RYB_5E1D,75.55
3RYB_5E2Q,7.52
3RYB_5GP7,59.75
3RYB_5GU4,36.76
3RYB_5HEB,45.06
3RYB_5HEY,44.44
3RYB_5WOU,54.9
3RYB_5XHZ,24.82
3RYB_5YGF,14.36
3RYB_6CDG,78.37
3RYB_6EVN,54.9
3RYB_6IM4,-54.7
3SO6_1CKA,54.75
3SO6_1D4T,51.45
3SO6_1ELW,11.83
3SO6_1FCH,41.66
3SO6_1GWR,48.32
3SO6_1JD5,14.93
3SO6_1LB6,73.08
3SO6_1MF4,60.98
3SO6_1MFG,47.71
3SO6_1OAI,42.5
3SO6_1T7R,61.71
3SO6_1X2R,55.42
3SO6_1YWO,19.87
3SO6_2HO2,58.63
3SO6_2O9V,69.77
3SO6_2OEI,58.03
3SO6_2PEH,62.62
3SO6_2PV1,48.67
3SO6_2QBW,57.74
3SO6_2WA8,57.45
3SO6_2XRW,25.79
3SO6_3ASL,41.18
3SO6_3CH8,62.89
3SO6_3D9T,0.49
3SO6_3DIW,40.41
3SO6_3DRF,39.25
3SO6_3DRG,54.76
3SO6_3EMH,99.34
3SO6_3IQG,72.45
3SO6_3IVV,71.5
3SO6_3L3X,55.91
3SO6_3OBQ,60.75
3SO6_3R42,-14.25
3SO6_3RYB,26.3
3SO6_3SO6,0.0
3SO6_3SOU,38.83
3SO6_3UPV,-2.79
3SO6_3UVK,114.89
3SO6_3UVM,115.03
3SO6_4AIF,31.26
3SO6_4APO,36.51
3SO6_4CC2,36.01
3SO6_4CY1,114.88
3SO6_4E3B,30.04
3SO6_4EQJ,28.37
3SO6_4ERY,116.22
3SO6_4EWR,111.73
3SO6_4F14,26.41
3SO6_4GNE,20.69
3SO6_4GQ6,46.66
3SO6_4H39,54.14
3SO6_4IKN,41.36
3SO6_4J73,85.18
3SO6_4J78,93.19
3SO6_4J81,77.32
3SO6_4JOE,43.57
3SO6_4K75,38.23
3SO6_4LN2,65.2
3SO6_4LNP,49.38
3SO6_4MDR,19.65
3SO6_4NXQ,23.81
3SO6_4O36,18.68
3SO6_4WYU,43.4
3SO6_4X3H,39.0
3SO6_4XHV,35.67
3SO6_4Y7R,117.69
3SO6_4YSI,61.17
3SO6_4ZHL,69.9
3SO6_5A2J,65.62
3SO6_5CFA,45.49
3SO6_5E1D,55.99
3SO6_5E2Q,73.22
3SO6_5GP7,14.69
3SO6_5GU4,69.92
3SO6_5HEB,33.51
3SO6_5HEY,44.62
3SO6_5WOU,42.83
3SO6_5XHZ,43.21
3SO6_5YGF,88.6
3SO6_6CDG,77.08
3SO6_6EVN,0.53
3SO6_6IM4,38.94
3SOU_1CKA,30.21
3SOU_1D4T,28.2
3SOU_1ELW,-9.25
3SOU_1FCH,10.73
3SOU_1GWR,-1.41
3SOU_1JD5,62.6
3SOU_1LB6,21.29
3SOU_1MF4,-4.49
3SOU_1MFG,-2.47
3SOU_1OAI,0.17
3SOU_1T7R,19.32
3SOU_1X2R,25.52
3SOU_1YWO,39.45
3SOU_2HO2,24.44
3SOU_2O9V,34.53
3SOU_2OEI,28.09
3SOU_2PEH,17.8
3SOU_2PV1,27.15
3SOU_2QBW,5.88
3SOU_2WA8,4.59
3SOU_2XRW,32.5
3SOU_3ASL,707.72
3SOU_3CH8,16.95
3SOU_3D9T,73.81
3SOU_3DIW,14.8
3SOU_3DRF,21.43
3SOU_3DRG,18.34
3SOU_3EMH,26.39
3SOU_3IQG,28.05
3SOU_3IVV,13.39
3SOU_3L3X,12.58
3SOU_3OBQ,6.09
3SOU_3R42,-7.45
3SOU_3RYB,2.14
3SOU_3SO6,38.83
3SOU_3SOU,0.0
3SOU_3UPV,-24.89
3SOU_3UVK,25.58
3SOU_3UVM,25.52
3SOU_4AIF,-25.38
3SOU_4APO,-25.02
3SOU_4CC2,26.05
3SOU_4CY1,31.5
3SOU_4E3B,22.45
3SOU_4EQJ,23.66
3SOU_4ERY,34.97
3SOU_4EWR,29.35
3SOU_4F14,24.06
3SOU_4GNE,217.56
3SOU_4GQ6,2.15
3SOU_4H39,29.33
3SOU_4IKN,10.66
3SOU_4J73,34.18
3SOU_4J78,35.88
3SOU_4J81,37.07
3SOU_4JOE,4.03
3SOU_4K75,13.23
3SOU_4LN2,39.2
3SOU_4LNP,30.1
3SOU_4MDR,34.1
3SOU_4NXQ,10.2
3SOU_4O36,-2.51
3SOU_4WYU,34.06
3SOU_4X3H,-18.36
3SOU_4XHV,30.6
3SOU_4Y7R,30.77
3SOU_4YSI,11.19
3SOU_4ZHL,21.96
3SOU_5A2J,8.13
3SOU_5CFA,26.63
3SOU_5E1D,34.48
3SOU_5E2Q,24.94
3SOU_5GP7,28.4
3SOU_5GU4,29.27
3SOU_5HEB,30.45
3SOU_5HEY,-0.8
3SOU_5WOU,14.81
3SOU_5XHZ,11.64
3SOU_5YGF,32.04
3SOU_6CDG,-4.32
3SOU_6EVN,2.49
3SOU_6IM4,22.72
3UPV_1CKA,-29.76
3UPV_1D4T,-34.3
3UPV_1ELW,445.38
3UPV_1FCH,410.46
3UPV_1GWR,69.3
3UPV_1JD5,37.42
3UPV_1LB6,-19.85
3UPV_1MF4,82.87
3UPV_1MFG,-3.53
3UPV_1OAI,69.94
3UPV_1T7R,49.09
3UPV_1X2R,-105.7
3UPV_1YWO,-31.45
3UPV_2HO2,-5.78
3UPV_2O9V,-51.46
3UPV_2OEI,-15.57
3UPV_2PEH,8.34
3UPV_2PV1,47.06
